Conditional fertility rates by calendar year, age and birth order
Last modified: 23/05/2024
Code Year  Age       m1x       m2x       m3x       m4x      m5px
AUT  1991   12-  0.00000         .         .         .         .
AUT  1991   13   0.00005         .         .         .         .
AUT  1991   14   0.00047   0.03844         .         .         .
AUT  1991   15   0.00211   0.01050         .         .         .
AUT  1991   16   0.00647   0.04576   0.04572         .         .
AUT  1991   17   0.01745   0.06266   0.02407         .         .
AUT  1991   18   0.03046   0.06288   0.05119   0.45800         .
AUT  1991   19   0.04586   0.08829   0.08329   0.02507         .
AUT  1991   20   0.05962   0.11286   0.06139   0.03295         .
AUT  1991   21   0.06825   0.12213   0.06270   0.07391   0.24854
AUT  1991   22   0.07661   0.13628   0.07220   0.08726   0.02731
AUT  1991   23   0.08670   0.14791   0.06545   0.07066   0.07103
AUT  1991   24   0.10178   0.15975   0.06991   0.08289   0.07698
AUT  1991   25   0.10953   0.16310   0.06505   0.06921   0.06065
AUT  1991   26   0.11113   0.15965   0.06673   0.07672   0.08675
AUT  1991   27   0.11180   0.15403   0.06243   0.06096   0.09290
AUT  1991   28   0.10399   0.14414   0.06027   0.06211   0.08669
AUT  1991   29   0.09335   0.13023   0.05261   0.05813   0.07703
AUT  1991   30   0.08907   0.11509   0.04912   0.04989   0.06398
AUT  1991   31   0.07428   0.10142   0.04640   0.05171   0.06683
AUT  1991   32   0.06415   0.08085   0.04284   0.04793   0.05836
AUT  1991   33   0.05632   0.07137   0.03639   0.04438   0.04961
AUT  1991   34   0.04481   0.05644   0.03281   0.03311   0.04081
AUT  1991   35   0.03718   0.04268   0.02444   0.02747   0.04379
AUT  1991   36   0.03041   0.03677   0.01935   0.02422   0.03019
AUT  1991   37   0.02286   0.02631   0.01488   0.01859   0.03091
AUT  1991   38   0.01735   0.01706   0.01115   0.01758   0.02890
AUT  1991   39   0.01067   0.01066   0.00885   0.01327   0.02218
AUT  1991   40   0.00745   0.00651   0.00511   0.00843   0.01574
AUT  1991   41   0.00538   0.00478   0.00346   0.00650   0.01116
AUT  1991   42   0.00222   0.00137   0.00196   0.00348   0.00780
AUT  1991   43   0.00073   0.00126   0.00083   0.00107   0.00598
AUT  1991   44   0.00076   0.00049   0.00048   0.00174   0.00368
AUT  1991   45   0.00000   0.00055   0.00022   0.00074   0.00108
AUT  1991   46   0.00000   0.00028   0.00019   0.00026   0.00073
AUT  1991   47   0.00015   0.00009   0.00006   0.00000   0.00016
AUT  1991   48   0.00000   0.00000   0.00000   0.00000   0.00015
AUT  1991   49   0.00000   0.00000   0.00000   0.00000   0.00013
AUT  1991   50   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  1991   51   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  1991   52   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  1991   53   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  1991   54   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  1991   55+  0.00000   0.00000   0.00000   0.00000   0.00000
AUT  1992   12-  0.00000         .         .         .         .
AUT  1992   13   0.00005         .         .         .         .
AUT  1992   14   0.00040   0.07249         .         .         .
AUT  1992   15   0.00196   0.03813         .         .         .
AUT  1992   16   0.00666   0.07679   0.14584         .         .
AUT  1992   17   0.01707   0.07626   0.08001         .         .
AUT  1992   18   0.02899   0.08287   0.06983   0.00000         .
AUT  1992   19   0.04733   0.10108   0.04816   0.08686         .
AUT  1992   20   0.05727   0.11635   0.07730   0.04792         .
AUT  1992   21   0.06948   0.12652   0.07657   0.05126   0.00000
AUT  1992   22   0.07584   0.14294   0.07238   0.08384   0.13364
AUT  1992   23   0.08477   0.15214   0.06699   0.07406   0.16168
AUT  1992   24   0.09314   0.15416   0.07252   0.07738   0.09683
AUT  1992   25   0.10589   0.15970   0.06780   0.07375   0.12258
AUT  1992   26   0.10532   0.15994   0.06786   0.06963   0.08947
AUT  1992   27   0.10529   0.15480   0.06555   0.06379   0.06132
AUT  1992   28   0.10627   0.14466   0.06043   0.06058   0.07886
AUT  1992   29   0.09732   0.12902   0.05632   0.05126   0.07578
AUT  1992   30   0.08855   0.11847   0.04955   0.05192   0.05897
AUT  1992   31   0.07700   0.10045   0.04615   0.04890   0.05868
AUT  1992   32   0.06291   0.08630   0.04393   0.04377   0.05087
AUT  1992   33   0.05554   0.07322   0.03537   0.04314   0.05015
AUT  1992   34   0.04624   0.05991   0.03179   0.02770   0.04783
AUT  1992   35   0.04066   0.04461   0.02525   0.02897   0.04191
AUT  1992   36   0.03341   0.03384   0.01819   0.02679   0.03368
AUT  1992   37   0.02154   0.02570   0.01737   0.02136   0.02783
AUT  1992   38   0.01615   0.01718   0.01205   0.01728   0.03099
AUT  1992   39   0.00987   0.01168   0.00893   0.01242   0.02174
AUT  1992   40   0.00669   0.00806   0.00536   0.00889   0.01569
AUT  1992   41   0.00463   0.00547   0.00298   0.00649   0.01009
AUT  1992   42   0.00353   0.00212   0.00204   0.00322   0.00779
AUT  1992   43   0.00147   0.00152   0.00123   0.00205   0.00717
AUT  1992   44   0.00117   0.00071   0.00062   0.00107   0.00245
AUT  1992   45   0.00046   0.00041   0.00042   0.00033   0.00050
AUT  1992   46   0.00020   0.00000   0.00015   0.00000   0.00043
AUT  1992   47   0.00000   0.00000   0.00006   0.00013   0.00000
AUT  1992   48   0.00015   0.00000   0.00006   0.00000   0.00000
AUT  1992   49   0.00000   0.00000   0.00006   0.00000   0.00015
AUT  1992   50   0.00000   0.00000   0.00000   0.00010   0.00000
AUT  1992   51   0.00000   0.00000   0.00000   0.00000   0.00000
AUT  1992   52   0.00000   0.00000   0.00000   0.00000   0.00000
